decile,contexto,prob,desv
d90,Quintil 5,0.753108023959925,0.134693248496414
d90,Quintil 4,0.711147136228366,0.138383738784684
d90,Quintil 3,0.634709197691001,0.15370722142993
d90,Quintil 2,0.640007582426414,0.149712167118062
d90,Quintil 1,0.580498524953007,0.159496682517553
d50,Quintil 5,0.360313643043051,0.0933856202285018
d50,Quintil 4,0.307726960139118,0.095733733495992
d50,Quintil 3,0.227528921081219,0.0814446357761397
d50,Quintil 2,0.230160299783918,0.0819327348248222
d50,Quintil 1,0.182655629667416,0.0742272287274962
d10,Quintil 5,0.23755262441035,0.0812314847138579
d10,Quintil 4,0.195822921301046,0.0791102248662209
d10,Quintil 3,0.134683087437298,0.0612084650789871
d10,Quintil 2,0.136696568697474,0.0595296079921865
d10,Quintil 1,0.10040461701968,0.0500864028147073
